,midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s,turnout_pred
261,0,0.85,0.2,0.5,0.1,0.673646000000005
262,0,0.85,0.2,0.5,0.11,0.673222000000005
263,0,0.85,0.2,0.5,0.12,0.6732140000000051
264,0,0.85,0.2,0.5,0.13,0.6731540000000051
265,0,0.85,0.2,0.5,0.14,0.6731890000000051
266,0,0.9,0.2,0.5,0.01,0.7096970000000014
267,0,0.9,0.2,0.5,0.02,0.7095160000000014
268,0,0.9,0.2,0.5,0.03,0.710401000000001
269,0,0.9,0.2,0.5,0.04,0.7119530000000008
270,0,0.9,0.2,0.5,0.05,0.7084410000000031
271,0,0.9,0.2,0.5,0.06,0.707014000000003
272,0,0.9,0.2,0.5,0.07,0.7052680000000031
273,0,0.9,0.2,0.5,0.08,0.7027810000000029
274,0,0.9,0.2,0.5,0.09,0.702850000000003
275,0,0.9,0.2,0.5,0.1,0.7010670000000029
276,0,0.9,0.2,0.5,0.11,0.7001490000000026
277,0,0.9,0.2,0.5,0.12,0.7001490000000026
278,0,0.9,0.2,0.5,0.13,0.7001490000000026
279,0,0.9,0.2,0.5,0.14,0.7001630000000026
280,0,0.7,0.3,0.5,0.01,0.6026470000000039
281,0,0.7,0.3,0.5,0.02,0.5709720000000044
282,0,0.7,0.3,0.5,0.03,0.5736950000000042
283,0,0.7,0.3,0.5,0.04,0.5726110000000041
284,0,0.7,0.3,0.5,0.05,0.5720470000000036
285,0,0.7,0.3,0.5,0.06,0.5720990000000037
286,0,0.7,0.3,0.5,0.07,0.5721820000000036
287,0,0.7,0.3,0.5,0.08,0.5721100000000038
288,0,0.7,0.3,0.5,0.09,0.5719510000000035
289,0,0.7,0.3,0.5,0.1,0.5721040000000036
290,0,0.7,0.3,0.5,0.11,0.5728650000000033
291,0,0.7,0.3,0.5,0.12,0.5728100000000034
292,0,0.7,0.3,0.5,0.13,0.5721450000000033
293,0,0.7,0.3,0.5,0.14,0.5718090000000032
294,0,0.75,0.3,0.5,0.01,0.6040320000000036
295,0,0.75,0.3,0.5,0.02,0.5737880000000037
296,0,0.75,0.3,0.5,0.03,0.5762720000000033
297,0,0.75,0.3,0.5,0.04,0.5750800000000031
298,0,0.75,0.3,0.5,0.05,0.5745160000000027
299,0,0.75,0.3,0.5,0.06,0.5745680000000027
300,0,0.75,0.3,0.5,0.07,0.5746320000000027
301,0,0.75,0.3,0.5,0.08,0.5745400000000027
302,0,0.75,0.3,0.5,0.09,0.5743570000000027
303,0,0.75,0.3,0.5,0.1,0.5745110000000025
304,0,0.75,0.3,0.5,0.11,0.5752640000000023
305,0,0.75,0.3,0.5,0.12,0.5752010000000024
306,0,0.75,0.3,0.5,0.13,0.5742970000000025
307,0,0.75,0.3,0.5,0.14,0.5738670000000026
308,0,0.8,0.3,0.5,0.01,0.6089170000000063
309,0,0.8,0.3,0.5,0.02,0.5887560000000043
310,0,0.8,0.3,0.5,0.03,0.5879690000000043
311,0,0.8,0.3,0.5,0.04,0.5885500000000039
312,0,0.8,0.3,0.5,0.05,0.5887910000000038
313,0,0.8,0.3,0.5,0.06,0.5899570000000044
314,0,0.8,0.3,0.5,0.07,0.5904470000000048
315,0,0.8,0.3,0.5,0.08,0.5907070000000048
316,0,0.8,0.3,0.5,0.09,0.5905740000000049
317,0,0.8,0.3,0.5,0.1,0.5904570000000052
318,0,0.8,0.3,0.5,0.11,0.5898990000000055
319,0,0.8,0.3,0.5,0.12,0.5884960000000052
320,0,0.8,0.3,0.5,0.13,0.5855950000000052
321,0,0.8,0.3,0.5,0.14,0.5853880000000049
322,0,0.85,0.3,0.5,0.01,0.6783070000000047
323,0,0.85,0.3,0.5,0.02,0.6777900000000043
324,0,0.85,0.3,0.5,0.03,0.6788900000000039
325,0,0.85,0.3,0.5,0.04,0.680972000000004
326,0,0.85,0.3,0.5,0.05,0.6805800000000048
327,0,0.85,0.3,0.5,0.06,0.6794970000000047
328,0,0.85,0.3,0.5,0.07,0.6777140000000047
329,0,0.85,0.3,0.5,0.08,0.674706000000005
330,0,0.85,0.3,0.5,0.09,0.6749250000000049
331,0,0.85,0.3,0.5,0.1,0.673646000000005
332,0,0.85,0.3,0.5,0.11,0.673222000000005
333,0,0.85,0.3,0.5,0.12,0.6732140000000051
334,0,0.85,0.3,0.5,0.13,0.6731540000000051
335,0,0.85,0.3,0.5,0.14,0.6731890000000051
336,0,0.9,0.3,0.5,0.01,0.7096970000000014
337,0,0.9,0.3,0.5,0.02,0.7095160000000014
338,0,0.9,0.3,0.5,0.03,0.710401000000001
339,0,0.9,0.3,0.5,0.04,0.7119530000000008
340,0,0.9,0.3,0.5,0.05,0.7084410000000031
341,0,0.9,0.3,0.5,0.06,0.707014000000003
342,0,0.9,0.3,0.5,0.07,0.7052680000000031
343,0,0.9,0.3,0.5,0.08,0.7027810000000029
344,0,0.9,0.3,0.5,0.09,0.702850000000003
345,0,0.9,0.3,0.5,0.1,0.7010670000000029
346,0,0.9,0.3,0.5,0.11,0.7001490000000026
347,0,0.9,0.3,0.5,0.12,0.7001490000000026
348,0,0.9,0.3,0.5,0.13,0.7001490000000026
349,0,0.9,0.3,0.5,0.14,0.7001630000000026
350,0,0.7,0.4,0.5,0.01,0.6026470000000039
351,0,0.7,0.4,0.5,0.02,0.5709720000000044
352,0,0.7,0.4,0.5,0.03,0.5736950000000042
353,0,0.7,0.4,0.5,0.04,0.5726110000000041
354,0,0.7,0.4,0.5,0.05,0.5720470000000036
355,0,0.7,0.4,0.5,0.06,0.5720990000000037
356,0,0.7,0.4,0.5,0.07,0.5721820000000036
357,0,0.7,0.4,0.5,0.08,0.5721100000000038
358,0,0.7,0.4,0.5,0.09,0.5719510000000035
359,0,0.7,0.4,0.5,0.1,0.5721040000000036
360,0,0.7,0.4,0.5,0.11,0.5728650000000033
361,0,0.7,0.4,0.5,0.12,0.5728100000000034
362,0,0.7,0.4,0.5,0.13,0.5721450000000033
363,0,0.7,0.4,0.5,0.14,0.5718090000000032
364,0,0.75,0.4,0.5,0.01,0.6040320000000036
365,0,0.75,0.4,0.5,0.02,0.5737880000000037
