Year,ICPSR State Code,Alphanumeric State Code,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,32,17,Kansas,0.433,0.425,0.398,887023,869502,2048164,2184712,0.05200000,9326,16328,4051,22521,
2014,51,18,Kentucky,0.449,0.442,0.422,1459409,1435868,3247300,3406506,0.02700000,21402,54107,16729,68431,
2014,45,19,Louisiana,0.449,0.439,0.415,1503975,1472039,3349433,3545845,0.03000000,37881,40979,29619,90448,
2014,2,20,Maine,0.587,0.581,0.57,616996,611255,1051557,1071521,0.01900000,0,0,0,0,
2014,52,21,Maryland,0.42,0.417,0.373,1745104,1733177,4154546,4645171,0.08900000,20388,79539,11537,76467,
2014,3,22,Massachusetts,0.447,0.441,0.402,2186789,2158326,4896296,5369534,0.08600000,10014,0,0,10014,
2014,23,23,Michigan,0.432,0.427,0.41,3188956,3156531,7383958,7700110,0.03500000,42900,0,0,42900,
2014,33,24,Minnesota,0.506,0.504,0.472,1992613,1981511,3935121,4194166,0.04500000,10003,97661,6642,71335,
2014,46,25,Mississippi,,0.29,0.279,,631858,2181131,2267463,0.01700000,18756,34398,9883,47902,
2014,34,26,Missouri,0.336,0.317,0.305,1509025,1426303,4493722,4682458,0.02400000,31432,47303,18495,76417,
2014,64,27,Montana,0.475,0.469,0.461,373831,369826,787748,802644,0.01400000,3681,0,0,3681,
2014,35,28,Nebraska,0.414,0.405,0.38,552115,539891,1334453,1419489,0.05000000,5221,12940,1067,13534,
2014,65,29,Nevada,0.296,0.293,0.252,552546,547349,1867644,2173640,0.12900000,12537,12027,5927,25199,
2014,4,30,New Hampshire,0.483,0.476,0.46,495565,488159,1025862,1061054,0.03000000,2867,0,0,2867,
2014,12,31,New Jersey,0.325,0.311,0.27,1955042,1869535,6014127,6936661,0.11900000,20255,115898,14889,100047,
2014,66,32,New Mexico,,0.354,0.323,,512805,1449503,1586442,0.07500000,6879,16060,2255,18128,
2014,13,33,New York,0.29,0.282,0.246,3930310,3819010,13553426,15544111,0.12200000,48376,0,44889,93265,
2014,47,34,North Carolina,0.412,0.408,0.379,2939767,2915281,7143737,7693406,0.05900000,35726,90918,10025,96665,
2014,36,35,North Dakota,0.45,0.438,0.427,255128,248670,567221,582205,0.02300000,1700,0,0,1700,
2014,24,36,Ohio,0.362,0.351,0.341,3149876,3055913,8701243,8969074,0.02400000,51024,0,0,51024,
2014,53,37,Oklahoma,0.3,0.299,0.281,825607,824831,2755091,2940437,0.04700000,27650,28568,2560,46208,
2014,72,38,Oregon,0.534,0.509,0.472,1541782,1469717,2887517,3115883,0.06800000,15075,0,0,15075,
2014,14,39,Pennsylvania,0.365,0.361,0.346,3535576,3495866,9689491,10100271,0.03600000,49643,0,0,49643,
2014,5,40,Rhode Island,0.424,0.417,0.385,329212,324055,776286,842605,0.07500000,3294,0,0,3294,
2014,48,41,South Carolina,0.352,0.348,0.331,1261611,1246301,3584461,3760480,0.03500000,20917,35096,5225,45796,
2014,37,42,South Dakota,0.447,0.443,0.431,282291,279412,630989,647810,0.01600000,3528,0,2611,6139,
2014,54,43,Tennessee,0.298,0.286,0.272,1430117,1374065,4799476,5060636,0.03600000,28495,62950,13498,77245,
2014,49,44,Texas,,0.283,0.238,,4727208,16675420,19847831,0.13500000,157361,388101,111412,486110,
2014,67,45,Utah,0.303,0.297,0.275,577973,565970,1905801,2054936,0.06900000,6824,0,0,6824,
2014,6,46,Vermont,0.408,0.389,0.381,202445,193087,495884,507304,0.02300000,0,0,0,0,
2014,40,47,Virginia,0.368,0.366,0.337,2194346,2184473,5962456,6489957,0.07100000,36943,54966,1732,69456,
2014,73,48,Washington,0.431,0.412,0.371,2123901,2029189,4928407,5467270,0.08400000,17345,94112,9880,79928,
2014,56,49,West Virginia,0.32,0.312,0.307,462864,451498,1447652,1472594,0.00800000,6873,7174,2749,13639,
2014,25,50,Wisconsin,0.569,0.566,0.539,2422248,2410314,4260427,4470265,0.03200000,22097,46212,20010,67986,
2014,68,51,Wyoming,0.397,0.39,0.373,171153,168390,431434,451484,0.03100000,2330,5196,715,5955,
2012,0,0,United States,0.586,0.58,0.536,130292355,129070906,222474111,240957993,0.08400000,1473412,2342582,637410,3352390,5127418
2012,41,1,Alabama,,0.586,0.56,,2074338,3539217,3707440,0.02600000,32232,57993,8616,71584,
2012,81,2,Alaska,0.589,0.587,0.553,301694,300495,511792,543763,0.03800000,5633,7173,1882,11317,
2012,61,3,Arizona,0.53,0.526,0.465,2323579,2306559,4387900,4959270,0.09900000,35188,72452,7460,81048,
2012,42,4,Arkansas,0.511,0.507,0.477,1078548,1069468,2109847,2242740,0.03500000,14471,30122,23372,53808,
2012,71,5,California,0.557,0.551,0.451,13202158,13038547,23681837,28913129,0.17400000,119455,0,89287,208742,
2012,62,6,Colorado,0.706,0.699,0.645,2596173,2569522,3675871,3981208,0.06900000,18807,0,11458,30265,
2012,1,7,Connecticut,0.614,0.613,0.556,1560640,1558960,2543202,2801375,0.08500000,16935,0,2793,19728,
