State,total_ballots_counted,Voting_Eligible_Population,Voting_Eligibile_Population
Alaska,197540,364419,"364,419"
Arizona,1094735,2523614,"2,523,614"
Arkansas,0,1710799,"1,710,799"
California,7899131,18156500,"18,156,500"
Colorado,1046139,2366650,"2,366,650"
Connecticut,1159361,2383795,"2,383,795"
Delaware,183977,486760,"486,760"
District of Columbia,171677,441742,"441,742"
Florida,0,9145312,"9,145,312"
Georgia,0,4588953,"4,588,953"
Hawaii,354144,770836,"770,836"
Idaho,328340,690154,"690,154"
Illinois,3420720,8029525,"8,029,525"
Indiana,1566371,4080236,"4,080,236"
Iowa,1004908,2030935,"2,030,935"
Kansas,805251,1783412,"1,783,412"
Kentucky,0,2722356,"2,722,356"
Louisiana,0,2959148,"2,959,148"
Maine,0,910982,"910,982"
Maryland,1170867,3397126,"3,397,126"
Massachusetts,2424579,4384671,"4,384,671"
Michigan,2641649,6693069,"6,693,069"
Minnesota,1843104,3136830,"3,136,830"
Mississippi,0,1824156,"1,824,156"
Missouri,0,3740308,"3,740,308"
Montana,326652,573045,"573,045"
Nebraska,604195,1131746,"1,131,746"
Nevada,325959,858018,"858,018"
New Hampshire,307700,814549,"814,549"
New Jersey,1998894,5429251,"5,429,251"
New Mexico,429509,1026902,"1,026,902"
New York,4290261,12271903,"12,271,903"
North Carolina,0,4938968,"4,938,968"
North Dakota,240301,461711,"461,711"
Ohio,3620469,7975680,"7,975,680"
Oklahoma,929639,2251719,"2,251,719"
Oregon,1133125,2057833,"2,057,833"
Pennsylvania,0,8962083,"8,962,083"
Rhode Island,375188,725084,"725,084"
South Carolina,793614,2537384,"2,537,384"
South Dakota,0,494849,"494,849"
Tennessee,0,3624940,"3,624,940"
Texas,0,11034190,"11,034,190"
Utah,457983,1086050,"1,086,050"
Vermont,217384,415564,"415,564"
Virginia,0,4512504,"4,512,504"
Washington,1362651,3421256,"3,421,256"
West Virginia,0,1347723,"1,347,723"
Wisconsin,0,3541548,"3,541,548"
Wyoming,164309,312961,"312,961"
United States,0,173579281,"173,579,281"
Alabama,0,2901744,"2,901,744"
Alaska,203433,355023,"355,023"
Arizona,1204169,2454254,"2,454,254"
Arkansas,0,1689491,"1,689,491"
California,10194539,17738700,"17,738,700"
Colorado,1416265,2327768,"2,327,768"
Connecticut,1461962,2379699,"2,379,699"
Delaware,254973,472441,"472,441"
District of Columbia,197135,453636,"453,636"
Florida,0,8777510,"8,777,510"
Georgia,0,4459739,"4,459,739"
Hawaii,368567,739890,"739,890"
Idaho,421213,667345,"667,345"
Illinois,4697192,7950848,"7,950,848"
Indiana,2222811,3996319,"3,996,319"
Iowa,1240854,2021793,"2,021,793"
Kansas,0,1774451,"1,774,451"
Kentucky,0,2680364,"2,680,364"
Louisiana,0,2941023,"2,941,023"
