YearState,ElectionYear,StateAbbreviation,DemocratCandidateVotes,RepublicanCandidateVotes,OtherCandidateVotes,TotalVotes,PercentDemocrat,PercentRepublican ,PercentOther,FirstPlace,SecondPlace,Competivness
2012-HI,2012,HI,306658,121015,7024,434697,0.7055,0.2784,0.0162,0.7055,0.2784,0.4271
2012-IA,2012,IA,822544,730617,29019,1582180,0.5199,0.4618,0.0183,0.5199,0.4618,0.0581
2012-ID,2012,ID,212787,420911,18576,652274,0.3262,0.6453,0.0285,0.6453,0.3262,0.3191
2012-IL,2012,IL,3019512,2135216,87286,5242014,0.576,0.4073,0.0167,0.576,0.4073,0.1687
2012-IN,2012,IN,1152887,1420543,51104,2624534,0.4393,0.5413,0.0195,0.5413,0.4393,0.102
2012-KS,2012,KS,440726,692634,26611,1159971,0.3799,0.5971,0.0229,0.5971,0.3799,0.2172
2012-KY,2012,KY,679370,1087190,30652,1797212,0.378,0.6049,0.0171,0.6049,0.378,0.2269
2012-LA,2012,LA,809141,1152262,32662,1994065,0.4058,0.5778,0.0164,0.5778,0.4058,0.172
2012-MA,2012,MA,1921290,1188314,58163,3167767,0.6065,0.3751,0.0184,0.6065,0.3751,0.2314
2012-MD,2012,MD,1677844,971869,57614,2707327,0.6197,0.359,0.0213,0.6197,0.359,0.2607
2012-ME,2012,ME,401306,292276,19598,713180,0.5627,0.4098,0.0275,0.5627,0.4098,0.1529
2012-MI,2012,MI,2564569,2115256,51136,4730961,0.5421,0.4471,0.0108,0.5421,0.4471,0.095
2012-MN,2012,MN,1546167,1320225,70169,2936561,0.5265,0.4496,0.0239,0.5265,0.4496,0.0769
2012-MO,2012,MO,1223796,1482440,51087,2757323,0.4438,0.5376,0.0185,0.5376,0.4438,0.0938
2012-MS,2012,MS,562949,710746,11889,1285584,0.4379,0.5529,0.0092,0.5529,0.4379,0.115
2012-MT,2012,MT,201839,267928,14281,484048,0.417,0.5535,0.0295,0.5535,0.417,0.1365
2012-NC,2012,NC,2178391,2270395,56586,4505372,0.4835,0.5039,0.0126,0.5039,0.4835,0.0204
2012-ND,2012,ND,124827,188163,9637,322627,0.3869,0.5832,0.0299,0.5832,0.3869,0.1963
2012-NE,2012,NE,302081,475064,17234,794379,0.3803,0.598,0.0217,0.598,0.3803,0.2177
2012-NH,2012,NH,369561,329918,11493,710972,0.5198,0.464,0.0162,0.5198,0.464,0.0558
2012-NJ,2012,NJ,2125101,1477568,37623,3640292,0.5838,0.4059,0.0103,0.5838,0.4059,0.1779
2012-NM,2012,NM,415335,335788,32635,783758,0.5299,0.4284,0.0416,0.5299,0.4284,0.1015
2012-NV,2012,NV,531373,463567,19978,1014918,0.5236,0.4568,0.0197,0.5236,0.4568,0.0668
2012-NY,2012,NY,4485741,2490431,104987,7081159,0.6335,0.3517,0.0148,0.6335,0.3517,0.2818
2012-OH,2012,OH,2827709,2661437,91701,5580847,0.5067,0.4769,0.0164,0.5067,0.4769,0.0298
2012-OK,2012,OK,443547,891325,0,1334872,0.3323,0.6677,0,0.6677,0.3323,0.3354
2012-OR,2012,OR,970488,754175,64607,1789270,0.5424,0.4215,0.0361,0.5424,0.4215,0.1209
2012-PA,2012,PA,2990274,2680434,82962,5753670,0.5197,0.4659,0.0144,0.5197,0.4659,0.0538
2012-RI,2012,RI,279677,157204,9168,446049,0.627,0.3524,0.0206,0.627,0.3524,0.2746
2012-SC,2012,SC,865941,1071645,26532,1964118,0.4409,0.5456,0.0135,0.5456,0.4409,0.1047
2012-SD,2012,SD,145039,210610,8166,363815,0.3987,0.5789,0.0224,0.5789,0.3987,0.1802
2012-TN,2012,TN,960709,1462330,35538,2458577,0.3908,0.5948,0.0145,0.5948,0.3908,0.204
2012-TX,2012,TX,3308124,4569843,115884,7993851,0.4138,0.5717,0.0145,0.5717,0.4138,0.1579
2012-UT,2012,UT,251813,740600,25027,1017440,0.2475,0.7279,0.0246,0.7279,0.2475,0.4804
2012-VA,2012,VA,1971820,1822522,60147,3854489,0.5116,0.4728,0.0156,0.5116,0.4728,0.0388
2012-VT,2012,VT,199239,92698,7353,299290,0.6657,0.3097,0.0246,0.6657,0.3097,0.356
