Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2012-TN,2012,TN,Tennessee,0.523,0.519,0.494,2478870.0,2458577.0,4736084,4976284,0.033,28135,64430,13138,75421
2012-TX,2012,TX,Texas,0.0,0.496,0.41700000000000004,0.0,7993851.0,16119973,19185395,0.135,157564,405473,112288,484753
2012-UT,2012,UT,Utah,0.561,0.555,0.514,1028786.0,1017440.0,1833339,1978956,0.07,6611,0,0,6611
2012-VT,2012,VT,Vermont,0.612,0.607,0.596,301793.0,299290.0,493355,502242,0.018000000000000002,0,0,0,0
2012-VA,2012,VA,Virginia,0.6659999999999999,0.6609999999999999,0.607,3888186.0,3854489.0,5834676,6348827,0.071,36425,52956,1983,66475
2012-WA,2012,WA,Washington,0.6579999999999999,0.648,0.586,3172939.0,3125516.0,4822060,5329782,0.08199999999999999,16355,88339,8895,72070
2012-WV,2012,WV,West Virginia,0.0,0.46299999999999997,0.455,0.0,670438.0,1447066,1472642,0.008,7052,8573,2052,13648
2012-WI,2012,WI,Wisconsin,0.0,0.7290000000000001,0.695,0.0,3068434.0,4209370,4417273,0.032,21987,46328,20023,66564
2012-WY,2012,WY,Wyoming,0.59,0.586,0.564,250701.0,249061.0,425142,441726,0.025,2163,5162,762,5661
2010-AL,2010,AL,Alabama,0.433,0.43,0.408,1503232.0,1494273.0,3472582,3661784,0.027999999999999997,31587,50622,9006,86889
2010-AK,2010,AK,Alaska,0.529,0.519,0.485,261128.0,256192.0,493764,528744,0.04,5576,6959,2089,13601
2010-AZ,2010,AZ,Arizona,0.41600000000000004,0.41,0.359,1750840.0,1727791.0,4209544,4807398,0.10300000000000001,35368,52316,7993,96443
2010-AR,2010,AR,Arkansas,0.379,0.375,0.353,789773.0,781333.0,2081156,2216171,0.037000000000000005,16047,26995,21106,53752
2010-CA,2010,CA,California,0.45899999999999996,0.44,0.358,10529134.0,10095485.0,22946053,28167234,0.177,146412,0,105133,217629
2010-CO,2010,CO,Colorado,0.517,0.506,0.465,1828323.0,1787730.0,3533054,3843619,0.073,21559,0,11014,28322
2010-CT,2010,CT,Connecticut,0.45899999999999996,0.45899999999999996,0.41700000000000004,1153872.0,1153115.0,2512981,2765843,0.084,18553,0,2894,20768
2010-DE,2010,DE,Delaware,0.49,0.475,0.441,316754.0,307402.0,646969,696940,0.055,6307,4448,560,11326
2010-FL,2010,FL,Florida,0.42200000000000004,0.41700000000000004,0.363,5473787.0,5411106.0,12961184,14916066,0.11199999999999999,97944,165760,4093,272113
2010-GA,2010,GA,Georgia,0.406,0.39799999999999996,0.355,2623035.0,2576161.0,6464845,7255919,0.07400000000000001,54710,185286,25091,254264
2010-HI,2010,HI,Hawaii,0.40299999999999997,0.39899999999999997,0.36,386302.0,382563.0,959531,1062593,0.091,5813,0,0,5912
2010-ID,2010,ID,Idaho,0.429,0.423,0.39399999999999996,459079.0,452535.0,1069446,1147210,0.047,7268,13721,3957,23131
2010-IL,2010,IL,Illinois,0.431,0.424,0.38299999999999995,3792770.0,3729989.0,8798829,9735944,0.091,46314,0,0,48418
2010-IN,2010,IN,Indiana,0.381,0.371,0.35600000000000004,1791832.0,1744481.0,4697111,4896656,0.035,27481,0,0,28028
2010-IA,2010,IA,Iowa,0.507,0.499,0.479,1133429.0,1116063.0,2234516,2328262,0.032,9276,8862,3197,19916
2010-KS,2010,KS,Kansas,0.426,0.41700000000000004,0.392,857658.0,838790.0,2011497,2137815,0.052000000000000005,8741,3704,5063,15287
2010-KY,2010,KY,Kentucky,0.44299999999999995,0.424,0.40700000000000003,1417995.0,1356468.0,3198093,3332204,0.024,20385,25688,14628,53546
2010-LA,2010,LA,Louisiana,0.4,0.389,0.368,1298649.0,1264994.0,3249524,3438247,0.027000000000000003,39335,42599,26202,95145
2010-ME,2010,ME,Maine,0.5589999999999999,0.552,0.5429999999999999,580584.0,572766.0,1038201,1055605,0.016,0,0,0,0
2010-MD,2010,MD,Maryland,0.467,0.46399999999999997,0.418,1868179.0,1857880.0,4001034,4449617,0.08800000000000001,21992,26164,13195,55407
2010-MA,2010,MA,Massachusetts,0.494,0.489,0.446,2319963.0,2297039.0,4693670,5152976,0.087,10429,0,0,11312
2010-MI,2010,MI,Michigan,0.451,0.445,0.42700000000000005,3268217.0,3226088.0,7245281,7555742,0.035,43499,0,0,44113
2010-MN,2010,MN,Minnesota,0.5579999999999999,0.5539999999999999,0.521,2123369.0,2107021.0,3802677,4041199,0.045,9281,42661,5807,55361
2010-MS,2010,MS,Mississippi,0.0,0.37,0.355,0.0,788549.0,2129334,2220094,0.018000000000000002,21067,26793,6434,51077
2010-MO,2010,MO,Missouri,0.457,0.445,0.424,1997271.0,1943899.0,4366435,4581260,0.026000000000000002,30178,54916,19421,95250
2010-MT,2010,MT,Montana,0.484,0.475,0.46799999999999997,367096.0,360341.0,758653,770601,0.011000000000000001,3706,0,0,3716
2010-NE,2010,NE,Nebraska,0.387,0.375,0.355,503514.0,487988.0,1301483,1375023,0.047,4324,4080,941,9138
2010-NV,2010,NV,Nevada,0.414,0.413,0.353,723515.0,721404.0,1747288,2046400,0.135,12653,8067,4964,23202
