YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
1984-NY,1984,NY,New York,0.556,0.572,0.509,7000828,6806810,12232120,13373558,0.081,33109,0,24212,57321
1984-OH,1984,OH,Ohio,0.588,0.603,0.58,4664223,4547619,7732456,7836806,0.011,18619,0,0,18619
1984-OK,1984,OK,Oklahoma,0.54,0.555,0.529,1290555,1255676,2324445,2373014,0.012,7872,18809,1880,19157
1984-OR,1984,OR,Oregon,0.643,0.664,0.625,1265824,1226527,1906880,1962501,0.026,4224,0,0,4224
1984-PA,1984,PA,Pennsylvania,0.551,0,0.543,0,4844903,8790815,8918353,0.013,13090,0,0,13090
1984-RI,1984,RI,Rhode Island,0.588,0.606,0.555,422851,410492,697537,739064,0.049,1221,7147,394,5189
1984-SC,1984,SC,South Carolina,0.416,0.437,0.409,1018701,968529,2329080,2368236,0.007,9892,17043,3441,21855
1984-SD,1984,SD,South Dakota,0.643,0,0.638,0,317867,494651,497849,0.005,921,0,0,921
1984-TN,1984,TN,Tennessee,0.501,0,0.494,0,1711994,3415760,3463234,0.006,7307,23598,6524,25630
1984-TX,1984,TX,Texas,0.51,0,0.474,0,5397571,10582774,11397758,0.054,36682,235568,40783,195249
1984-UT,1984,UT,Utah,0.63,0.643,0.616,641846,629656,998820,1022083,0.023,0,0,0,0
1984-VA,1984,VA,Virginia,0.524,0,0.507,0,2146635,4100160,4234017,0.026,10839,16690,5986,25170
1984-VT,1984,VT,Vermont,0.615,0.616,0.605,235140,234561,381479,387620,0.016,0,0,0,0
1984-WA,1984,WA,Washington,0.613,0.629,0.586,1931546,1883910,3072714,3213263,0.034,6821,39181,5253,31665
1984-WI,1984,WI,Wisconsin,0.649,0,0.638,0,2211689,3409202,3468053,0.011,4974,22426,3853,20040
1984-WV,1984,WV,West Virginia,0.529,0,0.525,0,735742,1391427,1401733,0.004,1579,3597,724,4102
1984-WY,1984,WY,Wyoming,0.558,0.579,0.549,196153,188968,338733,343957,0.01,724,1708,352,1930
1986-AK,1986,AK,Alaska,0.514,0.519,0.496,182526,180801,351841,364871,0.025,2460,2885,119,4022
1986-AL,1986,AL,Alabama,0.431,0,0.425,0,1236230,2869652,2911819,0.006,11710,21371,3038,25434
1986-AR,1986,AR,Arkansas,0.414,0,0.408,0,695487,1681564,1706578,0.006,4701,12700,4023,15074
1986-AZ,1986,AZ,Arizona,0.374,0.384,0.353,889668,866984,2319046,2452624,0.046,9434,20283,2034,21610
1986-CA,1986,CA,California,0.434,0.444,0.368,7617142,7443551,17166275,20222886,0.147,59484,0,33172,92656
1986-CO,1986,CO,Colorado,0.459,0.475,0.447,1096867,1060765,2309652,2372880,0.024,3804,0,1827,5631
1986-CT,1986,CT,Connecticut,0.424,0.437,0.401,1025605,993692,2344327,2479722,0.043,6905,41304,603,28160
1986-DE,1986,DE,Delaware,0.353,0.363,0.341,165563,160757,455609,470828,0.016,2833,7985,978,7804
1986-FL,1986,FL,Florida,0.409,0,0.375,0,3429996,8384015,9158241,0.073,32237,139859,3478,105645
1986-GA,1986,GA,Georgia,0.285,0,0.275,0,1224948,4300049,4450093,0.015,16922,109485,10421,82086
1986-HI,1986,HI,Hawaii,0.467,0.481,0.431,344416,334115,715459,775534,0.075,2180,0,0,2180
1986-IA,1986,IA,Iowa,0.451,0.456,0.444,922094,910623,2020678,2049547,0.009,2777,12584,1929,10998
1986-ID,1986,ID,Idaho,0.584,0.593,0.572,392909,387426,663126,677205,0.019,1448,0,0,1448
1986-IL,1986,IL,Illinois,0.397,0.42,0.377,3322657,3144185,7912733,8343755,0.049,19456,0,0,19456
1986-IN,1986,IN,Indiana,0.394,0.411,0.39,1619005,1555505,3943714,3990379,0.009,10175,0,0,10175
1986-KS,1986,KS,Kansas,0.478,0,0.47,0,840605,1757001,1788426,0.015,5345,0,0,5345
1986-KY,1986,KY,Kentucky,0.255,0,0.252,0,677280,2661218,2687605,0.005,5288,6841,3370,12079
1986-LA,1986,LA,Louisiana,0.454,0,0.446,0,1369897,3014498,3069021,0.013,14300,0,0,14300
1986-MA,1986,MA,Massachusetts,0.389,0.411,0.369,1777276,1684079,4326264,4560556,0.051,0,0,0,0
1986-MD,1986,MD,Maryland,0.346,0.361,0.327,1161136,1112637,3216833,3401061,0.038,13326,69134,7494,55387
1986-ME,1986,ME,Maine,0.497,0,0.49,0,426861,858200,870604,0.014,0,0,0,0
1986-MI,1986,MI,Michigan,0.368,0.378,0.359,2468009,2396564,6520661,6674856,0.02,20742,0,0,20742
1986-MN,1986,MN,Minnesota,0.468,0.482,0.458,1456579,1415989,3024070,3089544,0.014,2462,38901,1437,23350
1986-MO,1986,MO,Missouri,0.404,0,0.397,0,1477327,3655213,3717988,0.008,10309,33819,5229,32448
1986-MS,1986,MS,Mississippi,0.294,0,0.29,0,523563,1782721,1804699,0.005,6747,6458,3454,13430
1986-MT,1986,MT,Montana,0.556,0.571,0.55,326436,317862,572113,577604,0.008,1111,0,0,1111
1986-NC,1986,NC,North Carolina,0.342,0,0.335,0,1591330,4653016,4749053,0.01,17698,58644,3322,50342
1986-ND,1986,ND,North Dakota,0.61,0.623,0.605,295177,289013,473962,477812,0.007,421,0,0,421
1986-NE,1986,NE,Nebraska,0.503,0.515,0.495,577916,564422,1123099,1141336,0.009,2044,11265,304,7981
1986-NH,1986,NH,New Hampshire,0.33,0.338,0.324,257410,250966,760526,775686,0.019,782,0,0,782
1986-NJ,1986,NJ,New Jersey,0.288,0.304,0.267,1639330,1553544,5396487,5819614,0.064,12020,51359,14064,51764
1986-NM,1986,NM,New Mexico,0.4,0.414,0.385,408621,394833,987220,1026160,0.032,2416,4175,1147,5651
1986-NV,1986,NV,Nevada,0.374,0.378,0.351,264365,261932,700192,747283,0.051,4551,5518,1529,8839
1986-NY,1986,NY,New York,0.35,0.365,0.318,4481718,4293971,12263480,13512043,0.087,38449,0,29325,67774
1986-OH,1986,OH,Ohio,0.401,0.466,0.396,3628870,3121189,7781083,7891503,0.011,22463,0,0,22463
1986-OK,1986,OK,Oklahoma,0.397,0.408,0.388,934447,909925,2290182,2343190,0.013,9708,22740,1670,22748
1986-OR,1986,OR,Oregon,0.549,0.564,0.532,1088140,1059630,1928782,1990233,0.028,4770,0,0,4770
1986-PA,1986,PA,Pennsylvania,0.384,0,0.378,0,3388275,8820459,8955720,0.013,15201,0,0,15201
1986-RI,1986,RI,Rhode Island,0.43,0.454,0.404,322724,305663,711034,756297,0.052,1358,8174,453,5898
1986-SC,1986,SC,South Carolina,0.315,0.319,0.309,763493,753751,2393329,2437430,0.008,11676,21110,3066,25297
1986-SD,1986,SD,South Dakota,0.601,0,0.597,0,295830,492333,495833,0.005,1081,0,0,1081
1986-TN,1986,TN,Tennessee,0.348,0,0.343,0,1210339,3478867,3532177,0.007,7591,26291,8600,29337
1986-TX,1986,TX,Texas,0.319,0,0.293,0,3442368,10786533,11732625,0.06,38534,290074,57509,241080
1986-UT,1986,UT,Utah,0.425,0.435,0.415,445499,435111,1024337,1049339,0.024,0,0,0,0
1986-VA,1986,VA,Virginia,0.291,0,0.281,0,1233611,4240797,4394143,0.029,12930,17126,5767,27260
1986-VT,1986,VT,Vermont,0.505,0.543,0.497,211709,196716,389843,396034,0.016,0,0,0,0
1986-WA,1986,WA,Washington,0.424,0.431,0.404,1358160,1337367,3151152,3310457,0.036,6603,49663,7666,39101
1986-WI,1986,WI,Wisconsin,0.445,0,0.437,0,1526960,3432034,3495584,0.012,5736,24648,3854,21914
1986-WV,1986,WV,West Virginia,0.299,0.328,0.297,449249,410131,1370305,1380916,0.004,1472,4241,968,4561
1986-WY,1986,WY,Wyoming,0.501,0.513,0.493,168615,164720,328971,334385,0.01,861,1840,337,2118
1988-AK,1988,AK,Alaska,0.564,0.573,0.542,203433,200116,355023,369260,0.026,2588,2994,498,4583
1988-AL,1988,AL,Alabama,0.475,0,0.467,0,1378476,2901744,2949934,0.006,12610,25301,4701,29962
1988-AR,1988,AR,Arkansas,0.49,0,0.482,0,827738,1689491,1717388,0.006,5519,15931,3840,17325
1988-AZ,1988,AZ,Arizona,0.477,0.491,0.449,1204169,1171873,2454254,2609995,0.05,12095,25446,1669,26487
1988-CA,1988,CA,California,0.557,0.575,0.465,10194539,9887065,17738700,21249801,0.159,76171,0,49364,125535
1988-CO,1988,CO,Colorado,0.59,0.608,0.573,1416265,1372394,2327768,2396786,0.026,5765,0,1743,7508
1988-CT,1988,CT,Connecticut,0.607,0.614,0.572,1461962,1443394,2379699,2525021,0.045,8005,46086,371,31419
1988-DE,1988,DE,Delaware,0.529,0.54,0.51,254973,249891,472441,489696,0.017,3197,9576,1093,9078
1988-FL,1988,FL,Florida,0.49,0,0.446,0,4302313,8777510,9651236,0.078,34732,165475,2562,120032
1988-GA,1988,GA,Georgia,0.406,0,0.391,0,1809672,4459739,4631342,0.017,18787,121559,11308,90875
1988-HI,1988,HI,Hawaii,0.479,0.498,0.441,368567,354461,739890,803568,0.076,2300,0,0,2300
1988-IA,1988,IA,Iowa,0.606,0.614,0.597,1240854,1225614,2021793,2052326,0.009,3034,13099,1945,11529
1988-ID,1988,ID,Idaho,0.613,0.631,0.599,421213,408968,667345,682522,0.02,1581,0,0,1581
1988-IL,1988,IL,Illinois,0.573,0.591,0.542,4697192,4559120,7950848,8410414,0.052,21081,0,0,21081
1988-IN,1988,IN,Indiana,0.543,0.556,0.536,2222811,2168621,3996319,4045785,0.009,11406,0,0,11406
1988-KS,1988,KS,Kansas,0.56,0,0.549,0,993044,1774451,1808604,0.016,5817,0,0,5817
1988-KY,1988,KY,Kentucky,0.493,0,0.488,0,1322517,2680364,2709782,0.006,7119,7398,3443,14261
1988-LA,1988,LA,Louisiana,0.554,0,0.542,0,1628202,2941023,3005785,0.014,16242,0,7387,23629
1988-MA,1988,MA,Massachusetts,0.6,0.613,0.567,2689857,2632801,4385728,4642061,0.055,0,0,0,0
1988-MD,1988,MD,Maryland,0.516,0.525,0.485,1747350,1714358,3325582,3535730,0.042,14276,78619,9225,62811
1988-ME,1988,ME,Maine,0.625,0,0.615,0,555035,888612,901850,0.015,0,0,0,0
1988-MI,1988,MI,Michigan,0.555,0.567,0.542,3745751,3669163,6608812,6773776,0.02,27612,0,0,27612
1988-MN,1988,MN,Minnesota,0.679,0.688,0.662,2125119,2096790,3087194,3166668,0.015,2799,56901,1639,32889
1988-MO,1988,MO,Missouri,0.566,0,0.555,0,2093713,3696905,3769751,0.009,12176,42728,7207,40747
1988-MS,1988,MS,Mississippi,0.52,0,0.513,0,931527,1792847,1815826,0.005,7384,6854,3177,13988
1988-MT,1988,MT,Montana,0.644,0.667,0.637,378981,365674,568014,573791,0.008,1272,0,0,1272
1988-NC,1988,NC,North Carolina,0.445,0,0.435,0,2134370,4794041,4903045,0.011,17078,67164,6191,56851
1988-ND,1988,ND,North Dakota,0.637,0.662,0.632,309100,297261,466684,470652,0.007,466,0,0,466
1988-NE,1988,NE,Nebraska,0.588,0.603,0.578,678669,661465,1125252,1144305,0.009,2156,11411,447,8309
1988-NH,1988,NH,New Hampshire,0.564,0.578,0.552,462503,451074,800468,817358,0.019,1019,0,0,1019
1988-NJ,1988,NJ,New Jersey,0.57,0.571,0.525,3102502,3099553,5435008,5904776,0.069,16936,57903,18463,64351
1988-NM,1988,NM,New Mexico,0.52,0.534,0.498,535694,521287,1002876,1046754,0.036,2825,5312,1230,6711
