YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2008-VA,VA,Virginia,2008,1,1,,,,0.0522084,0.0024944,0.0017968,0.0017925,0.0731891,0.0777565,0.2994109,0.9978397,0,0.17687869,,0.10059811,,0,28.68236,0.0078868,0.8730558,0.6755677
2010-VA,VA,Virginia,2010,1,1,1,1,1,0.0817944,0.0012978,0.0009402,0.0002809,0.0370096,0.0793238,0.17717,0.9456893,0,,0.1289763,,0.0437593,0,,,0.8318228,0.3916428
2012-VA,VA,Virginia,2012,1,1,1,1,1,0.024471,0.0033006,0.0020776,0.0005846,0.0399651,0.017418,0.1692877,0.997191,0,0.1964353,,0.07693179,,0,23.64561,0.0108696,0.8612301,0.669365
2014-VA,VA,Virginia,2014,1,1,1,1,1,0.080046,0.0012254,0.0007632,0.000265,0.0437613,0.0793238,0.1749254,1,1,,0.1256089,,0.0392442,1,2.697712,,0.8356054,0.3664995
2016-VA,VA,Virginia,2016,1,1,1,1,0,0.0853247,0.003278,0.0023937,0.0007877,0.0551317,0.0642457,0.2048427,0.9444444,1,0.1685483,,0.06501286,,1,10.4329,0.0122884,0.8652531,0.6611013
2018-VA,VA,Virginia,2018,1,1,1,1,0,0.1613905,,,0.0006189,0.0522414,0.0971768,0.2751303,0.9624531,1,,0.1170178,,0.0264758,1,5.906732,,0.8744129,0.5477038
2008-VT,VT,Vermont,2008,0,0,,,,0.0022088,0.0001018,8.99E-06,0.0037844,0.0310253,0.0598608,0.1551453,0.995383,0,0.13854671,,0.04103221,,0,2.480046,0.0068897,0.8342508,0.6771029
2010-VT,VT,Vermont,2010,0,0,0,0,0,,0.0000511,0.000017,0.0024534,0.0352284,,0.3817701,0.907802,0,,0.1157122,,0.0308131,0,,,0.830813,0.499425
2012-VT,VT,Vermont,2012,0,0,0,0,0,,0.0000652,,,0.0434572,0.0180965,0.2125,0.927192,0,0.09656254,,0.04790612,,0,1.959669,0.0082938,0.8266858,0.6086181
2014-VT,VT,Vermont,2014,1,0,0,0,0,0.0189544,0.0000593,0.0000198,0.0015744,0.0334805,0.0176391,,0.9763107,1,,0.0986467,,0.031307,0,1.582367,,0.7679332,0.388202
2016-VT,VT,Vermont,2016,1,1,1,1,0,0.0098526,0.0000343,9.36E-06,0.001657,0.0418637,0.0588772,0.0408976,1,1,0.07328805,,0.04464466,,1,1.914458,0.0168504,0.8668774,0.6366542
2018-VT,VT,Vermont,2018,1,1,1,1,1,0.0266878,0,0,0.0026864,0.0598227,0.092296,0.1117886,0.8852732,1,,0.120302,,0.0155267,1,0.7053236,,0.8497759,0.5589754
2008-WA,WA,Washington,2008,0,1,,,,,0.0175958,0.0037593,0.0081961,0.134653,0.0115889,0.2820906,0.8869602,1,0.06415436,,0.10604227,,1,,0.0113,0.8419077,0.6734219
2010-WA,WA,Washington,2010,1,1,1,0,0,,0.0023624,0.0005882,0.0133568,0.2743367,0.0130172,0.6048741,0.965042,1,,0.0575594,,0.1018375,1,,,0.8272324,0.5432788
2012-WA,WA,Washington,2012,1,1,1,0,0,0.0116896,0.0021307,0.0009512,0.0093492,0.1806237,0.0110057,0.3665684,1,1,0.03453196,,0.11444009,,1,,0.0149461,0.8401185,0.6504631
2014-WA,WA,Washington,2014,1,1,1,1,0,0.0085715,0.0005595,0.000079,0.0126027,0.451114,0.0140068,0.7242826,1,1,,0.048343,,0.0961545,1,0.406409,,0.8169056,0.4311258
2016-WA,WA,Washington,2016,1,1,1,1,,,0.0018371,0.0004915,0.0090122,0.2271248,0.0215077,0.4261517,0.9916472,1,0.03416906,,0.08854693,,1,1.473638,0.0138085,0.8716176,0.6476299
2018-WA,WA,Washington,2018,1,1,1,1,0,0.0042041,0.0005796,0.0002694,0.0103167,,0.0150698,0.5635533,1,1,,0.0606328,,0.0759429,1,2.604187,,0.8551809,0.5894154
2008-WI,WI,Wisconsin,2008,1,1,,,,,0.0000704,0.000039,0.000914,0.0532762,0.0392338,0.3104991,0.8815994,1,0.17287897,,0.00817329,,0,7.936197,0.0044887,0.8691568,0.7273256
2010-WI,WI,Wisconsin,2010,1,1,1,1,1,,0.0000293,0.0000151,0.0013226,0.0581792,0.1207883,0.641403,0.8888889,1,,0.1109217,,0.0163047,0,,,0.8110377,0.5206403
2012-WI,WI,Wisconsin,2012,1,1,1,1,1,0.001222,0.0000446,0.000025,0.0013365,0.0669222,0.0706578,0.3358462,0.9990603,1,0.22164091,,0.01235712,,0,8.215319,0.0029845,0.8777779,0.7247142
2014-WI,WI,Wisconsin,2014,1,1,1,1,1,0.0017995,0.0000223,0.0000153,0.0006151,0.0236232,0.0547718,0.3756098,1,1,,0.1207526,,0.0161529,0,2.691705,,0.8183228,0.5651133
2016-WI,WI,Wisconsin,2016,1,1,1,1,1,,0.0002513,0.0002005,0.0000949,0.1187188,0.0070181,0.3148288,0.9444444,1,0.15927273,,0.018562,,1,6.107525,0.0092744,0.8416695,0.694013
2018-WI,WI,Wisconsin,2018,1,1,1,1,1,,0.0001733,0.0001168,0.0009567,0.121292,0.091161,0.3235239,0.937614,1,,0.1197291,,0.0096703,1,6.090339,,0.8288305,0.6167786
2008-WV,WV,West Virginia,2008,1,1,,,,,,,,,,,0.7684922,1,0.22706275,,0.04861556,,0,15.01558,0.0316884,0.7814252,0.511515
2010-WV,WV,West Virginia,2010,1,1,0,0,0,0.004614,,0.0019609,0.0011364,0.5156485,,0.3326752,0.813571,1,,0.1675862,,0.0328348,0,,,0.7490252,0.3670486
2012-WV,WV,West Virginia,2012,1,1,0,1,1,,,,,,0.0017847,0.2078228,0.9601688,1,0.22853476,,0.04861714,,0,9.792584,0.0213969,0.7887503,0.4632806
2014-WV,WV,West Virginia,2014,1,1,0,1,1,0.0049425,0.0068767,0.0020006,0.000108,0.093262,0.0251572,0.3291139,1,1,,0.1780774,,0.0348437,0,3.771747,,0.7566219,0.3116668
2016-WV,WV,West Virginia,2016,1,1,1,1,1,0.0018604,0.0045022,0.0011019,0.0004656,0.087421,0.0092065,0.2346984,0.9995461,1,0.21788637,,0.05175994,,1,7.294493,0.015196,0.7749061,0.5010111
2018-WV,WV,West Virginia,2018,1,1,1,1,1,0.003759,0.0083832,0.0035759,0.0001757,0.1426677,0.0097222,0.1438763,0.9966361,1,,0.1642776,,0.0307472,1,6.583784,,0.7783936,0.4249378
2008-WY,WY,Wyoming,2008,1,0,,,,,,,0.0008827,0.0275452,,0.2339181,0.8834472,0,0.12815282,,0.05982095,,0,5.620379,0.0053494,0.7828825,0.6310446
2010-WY,WY,Wyoming,2010,1,0,0,0,0,,,,0.0011267,0.0447299,0.0338983,0.483023,0.8937522,1,,0.1332978,,0.0209434,0,,,0.7250256,0.4580802
2012-WY,WY,Wyoming,2012,1,0,0,0,0,,,,0.000706,0.026823,0.0326158,0.2848958,0.9005393,1,0.11532616,,0.04179411,,0,4.516539,0.0065417,0.7467319,0.5929766
2014-WY,WY,Wyoming,2014,1,0,0,0,0,,,,0.0014724,0.0400125,0.0332226,0.4646098,0.8959528,1,,0.113828,,0.0193622,0,2.759438,,0.6744344,0.393362
2016-WY,WY,Wyoming,2016,1,0,0,0,0,,0.0001871,0.0001091,0.0007172,0.032028,0.022508,0.2211704,0.9444444,1,0.07836531,,0.03310362,,0,5.730819,0.0113568,0.7951592,0.5973827
2018-WY,WY,Wyoming,2018,1,1,0,0,0,,0.0001461,0.0000341,0.0012179,0.0301594,0.0603865,0.2724077,0.9444444,1,,0.1003753,,0.0225553,0,2.375983,,0.7501949,0.4867543
