yearstate,electionyear,stateabbriviation,statename,percentcitizenwhite,percentcitizenblack,percentcitizenasian,percentcitizenhispanic,totalvotingagepopulation,totalvotingagecitizen,totalpercentcitizen,totalregisteredvoters,totalpercentregisteredcitizens,totaltotalvotes,totalpercentvotedcitizen,malevotingagepopulation,malevotingagecitizen,malepercentcitizen,maleregisteredvoters,malepercentregisteredcitizens,maletotalvotes,malepercentvotedcitizen,femalevotingagepopulation,femalevotingagecitizen,femalepercentcitizen,femaleregisteredvoters,femalepercentregisteredcitizens,femaletotalvotes,femalepercentvotedcitizen,whitenonhispanicvotingagepopulation,whitenonhispanicvotingagecitizen,whitenonhispanicpercentcitizen,whitenonhispanicregisteredvoters,whitenonhispanicpercentregisteredcitizens,whitenonhispanictotalvotes,whitenonhispanicpercentvotedcitizen,blackvotingagepopulation,blackvotingagecitizen,blackpercentcitizen,blackregisteredvoters,blackpercentregisteredcitizens,blacktotalvotes,blackpercentvotedcitizen,asianpacificislandervotingagepopulation,asianpacificislandervotingagecitizen,asianpacificislanderpercentcitizen,asianpacificislanderregisteredvoters,asianpacificislanderpercentregisteredcitizens,asianpacificislandertotalvotes,asianpacificislanderpercentvotedcitizen,hispanicvotingagepopulation,hispanicvotingagecitizen,hispanicpercentcitizen,hispanicregisteredvoters,hispanicpercentregisteredcitizens,hispanictotalvotes,hispanicpercentvotedcitizen
2000-OH,2000,OH,OHIO,0.869090016,0.111015596,0.006508658,0.010684023,8301,8143,0.980966149,5561,0.682917844,4823,0.592287855,3916,3836,0.979570991,2559,0.667101147,2201,0.573774765,4385,4307,0.982212087,3002,0.697004876,2622,0.60877641,7147,7077,0.990205681,4869,0.688003391,4239,0.59898262,931,904,0.970998926,598,0.661504425,500,0.553097345,96,53,0.552083333,32,0.603773585,27,0.509433962,106,87,0.820754717,47,0.540229885,43,0.494252874
2000-OK,2000,OK,OKLAHOMA,0.868333333,0.047916667,0.009166667,0.019583333,2457,2400,0.976800977,1679,0.699583333,1431,0.59625,1155,1124,0.973160173,761,0.677046263,653,0.580960854,1302,1276,0.980030722,918,0.719435737,778,0.609717868,2102,2084,0.991436727,1483,0.711612284,1269,0.608925144,115,115,1,66,0.573913043,51,0.443478261,38,22,0.578947368,16,0.727272727,14,0.636363636,76,47,0.618421053,26,0.553191489,21,0.446808511
2000-OR,2000,OR,OREGON,0.927668845,0.014814815,0.016993464,0.030501089,2515,2295,0.912524851,1714,0.746840959,1529,0.666230937,1219,1106,0.907301066,806,0.72875226,712,0.643761302,1296,1189,0.917438272,908,0.763666947,817,0.687132044,2181,2129,0.976157726,1605,0.753875059,1444,0.678252701,34,34,1,20,0.588235294,17,0.5,85,39,0.458823529,25,0.641025641,21,0.538461538,193,70,0.362694301,48,0.685714286,33,0.471428571
2000-PA,2000,PA,PENNSYLVANIA,0.886727294,0.083227812,0.007482445,0.020950846,8950,8687,0.970614525,5847,0.673074709,4988,0.57419132,4287,4154,0.968975974,2836,0.682715455,2373,0.57125662,4663,4533,0.972120952,3011,0.664240018,2615,0.576880653,7805,7703,0.986931454,5170,0.671167078,4414,0.573023497,746,723,0.969168901,524,0.724757953,457,0.63208852,137,65,0.474452555,42,0.646153846,37,0.569230769,248,182,0.733870968,99,0.543956044,68,0.373626374
2000-RI,2000,RI,RHODE ISLAND,0.917391304,0.043478261,0.008695652,0.024637681,729,690,0.946502058,508,0.736231884,438,0.634782609,339,322,0.949852507,230,0.714285714,193,0.599378882,390,368,0.943589744,279,0.758152174,245,0.66576087,649,633,0.975346687,483,0.763033175,415,0.655608215,38,30,0.789473684,14,0.466666667,13,0.433333333,9,6,0.666666667,4,0.666666667,3,0.5,30,17,0.566666667,4,0.235294118,4,0.235294118
2000-SC,2000,SC,SOUTH CAROLINA,0.745598895,0.226786331,0.007939247,0.015878495,2929,2897,0.98907477,1993,0.687953055,1725,0.595443562,1355,1336,0.98597786,869,0.650449102,752,0.562874251,1575,1561,0.991111111,1124,0.720051249,973,0.623318386,2171,2160,0.994933211,1516,0.701851852,1303,0.603240741,662,657,0.99244713,454,0.691019787,402,0.611872146,23,23,1,10,0.434782609,10,0.434782609,62,46,0.741935484,7,0.152173913,7,0.152173913
2000-SD,2000,SD,SOUTH DAKOTA,0.940952381,0.005714286,0.001904762,0.005714286,530,525,0.990566038,376,0.716190476,311,0.592380952,263,260,0.988593156,184,0.707692308,149,0.573076923,266,264,0.992481203,192,0.727272727,162,0.613636364,495,494,0.997979798,355,0.718623482,297,0.601214575,5,3,0.6,2,0.666666667,1,0.333333333,2,1,0.5,0,0,0,0,4,3,0.75,2,0.666666667,1,0.333333333
2000-TN,2000,TN,TENNESSEE,0.830833538,0.160806491,0.001475289,0.006392919,4173,4067,0.97459861,2590,0.636833046,2183,0.536759282,2036,1960,0.962671906,1239,0.632142857,1042,0.531632653,2137,2107,0.985961628,1351,0.641196013,1142,0.542002848,3422,3379,0.987434249,2149,0.635986978,1825,0.540100621,658,654,0.993920973,427,0.652905199,344,0.525993884,23,6,0.260869565,3,0.5,3,0.5,67,26,0.388059701,11,0.423076923,11,0.423076923
2000-TX,2000,TX,TEXAS,0.626188452,0.105202133,0.018164953,0.245265518,14533,12937,0.890180967,8929,0.690190925,7005,0.541470202,7079,6222,0.878937703,4189,0.673256188,3305,0.531179685,7454,6715,0.900858599,4740,0.705882353,3700,0.551005212,8223,8101,0.985163566,5901,0.728428589,4761,0.587705222,1380,1361,0.986231884,958,0.703894195,798,0.586333578,451,235,0.521064302,135,0.574468085,120,0.510638298,4414,3173,0.718849116,1905,0.600378191,1300,0.409706902
2000-UT,2000,UT,UTAH,0.937590711,0.002902758,0.02467344,0.031204644,1472,1378,0.936141304,953,0.691582003,829,0.601596517,724,677,0.935082873,453,0.669128508,386,0.570162482,748,701,0.937165775,500,0.713266762,443,0.631954351,1313,1292,0.984006093,913,0.706656347,798,0.617647059,4,4,1,4,1,4,1,46,34,0.739130435,9,0.264705882,7,0.205882353,104,43,0.413461538,24,0.558139535,20,0.465116279
